0	Boston Cleaners	10860 W Charleston Boulevard Summerlin	Las Vegas	NV	89135	10860 W Charleston Boulevard, Summerlin, Las Vegas, NV 89135
2	Ruby's Diner	3111 W Chandler Blvd Ste 2146	Chandler	AZ	85226	3111 W Chandler Blvd Ste 2146, Chandler, AZ 85226
3	Marriott's Canyon Villas	5220 E Marriott Dr	Phoenix	AZ	85054	5220 E Marriott Dr, Phoenix, AZ 85054
4	Nick's	13910 N Frank Lloyd Wright Blvd	Scottsdale	AZ	85260	13910 N Frank Lloyd Wright Blvd, Scottsdale, AZ 85260
5	Credit One Bank	625 Pilot Rd Southeast	Las Vegas	NV	89119	625 Pilot Rd, Southeast, Las Vegas, NV 89119
6	The Gym	2510 E Hunt Hwy Ste 1	Queen Creek	AZ	85243	2510 E Hunt Hwy, Ste 1, Queen Creek, AZ 85243
7	Walmart	18551 N 83rd Avenue	Glendale	AZ	85308	18551 N 83rd Avenue, Glendale, AZ 85308
8	Yayo Taco	4632 S Maryland Pkwy University	Las Vegas	NV	89119	4632 S Maryland Pkwy, University, Las Vegas, NV 89119
9	Sundance Veterinary Hospital	8350 W Lower Buckeye Rd Ste 101	Tolleson	AZ	85353	8350 W Lower Buckeye Rd Ste 101, Tolleson, AZ 85353
11	Papa Murphy's Take N Bake Pizza	1020 E Ray Rd	Chandler	AZ	85225	1020 E Ray Rd, Chandler, AZ 85225
12	BMW Only	5115 Dean Martin Dr Ste C301	Las Vegas	NV	89118	5115 Dean Martin Dr, Ste C301, Las Vegas, NV 89118
13	LVCK	707 Fremont St Ste 3320 Downtown	Las Vegas	NV	89101	707 Fremont St, Ste 3320, Downtown, Las Vegas, NV 89101
14	Starbucks Coffee	1620 W Elliot Rd	Tempe	AZ	85284	1620 W Elliot Rd, Tempe, AZ 85284
15	Fountain Bowl	16737 E Parkview Ave	Fountain Hills	AZ	85268	16737 E Parkview Ave, Fountain Hills, AZ 85268
16	US Airways	McCarren Airport 5757 Wayne Newton Blvd Southeast	Las Vegas	NV	89119	McCarren Airport, 5757 Wayne Newton Blvd, Southeast, Las Vegas, NV 89119
17	Paradise Bakery & Cafe	14884 N Pima Rd Ste 101	Scottsdale	AZ	85260	14884 N Pima Rd, Ste 101, Scottsdale, AZ 85260
